,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0.005,0.007,0.008,0.012,0.011,0.014,0.017,0.019,0.035,0.047,0.042,0.06,0.076,0.078,0.099,0.138,0.142,0.175,0.196,0.228,
0.006,0.007,0.008,0.014,0.015,0.014,0.019,0.021,0.027,0.033,0.04,0.055,0.073,0.086,0.13,0.118,0.146,0.21,0.212,0.234,
0.005,0.007,0.011,0.011,0.014,0.013,0.017,0.022,0.028,0.034,0.044,0.057,0.074,0.11,0.138,0.121,0.168,0.17,0.198,0.232,
0.005,0.008,0.008,0.011,0.013,0.014,0.018,0.028,0.027,0.036,0.045,0.058,0.071,0.089,0.097,0.122,0.147,0.174,0.192,0.228,
0.007,0.007,0.01,0.01,0.011,0.014,0.016,0.028,0.029,0.032,0.043,0.054,0.073,0.097,0.124,0.152,0.143,0.173,0.193,0.234,
0.0056,0.0072,0.009,0.0116,0.0128,0.0138,0.0174,0.0236,0.0292,0.0364,0.0428,0.0568,0.0734,0.092,0.1176,0.1302,0.1492,0.1804,0.1982,0.2312,
0.0864,0.3522,0.8984,2.123,3.9836,6.8372,11.4984,18.0642,30.692,50.2214,105.8156,104.9428,263.805,430.514,560.2624,706.9092,942.6845,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
our tool,0.0056,0.0072,0.009,0.0116,0.0128,0.0138,0.0174,0.0236,0.0292,0.0364,0.0428,0.0568,0.0734,0.092,0.1176,0.1302,0.1492,0.1804,0.1982,0.2312
syteci,0.0864,0.3522,0.8984,2.123,3.9836,6.8372,11.4984,18.0642,30.692,50.2214,105.8156,104.9428,263.805,430.514,560.2624,706.9092,942.6845,,,
